Airfoil1
0 101 101 0.0 1.0

0 0
0.00010538 0.00207281
0.0004215 0.00414819
0.00094836 0.00622864
0.00168594 0.00831653
0.00263422 0.010414
0.00379317 0.0125231
0.00516274 0.0146453
0.00674292 0.0167819
0.00853362 0.0189338
0.0105348 0.0211012
0.0127464 0.0232843
0.0151684 0.0254824
0.0178006 0.0276944
0.020643 0.0299187
0.0236955 0.0321533
0.026958 0.0343955
0.0304303 0.0366423
0.0341124 0.0388902
0.0380041 0.0411353
0.0421052 0.0433733
0.0464157 0.0455996
0.0509354 0.0478094
0.0556641 0.0499979
0.0606015 0.0521598
0.0657476 0.05429
0.0711021 0.0563836
0.0766649 0.0584356
0.0824355 0.0604412
0.0884139 0.0623959
0.0945998 0.0642956
0.100993 0.0661366
0.107593 0.0679157
0.114399 0.06963
0.121412 0.0712775
0.128631 0.0728565
0.136055 0.0743662
0.143685 0.0758062
0.151519 0.0771768
0.159558 0.0784791
0.167801 0.0797146
0.176247 0.0808855
0.184897 0.0819945
0.193749 0.0830447
0.202803 0.0840396
0.212058 0.0849832
0.221514 0.0858794
0.231171 0.0867325
0.241028 0.0875466
0.251083 0.0883258
0.261337 0.089074
0.271788 0.0897946
0.282437 0.0904907
0.293281 0.0911646
0.304321 0.0918181
0.315556 0.0924521
0.326984 0.0930666
0.338604 0.0936605
0.350417 0.0942319
0.36242 0.0947775
0.374613 0.0952929
0.386995 0.0957727
0.399564 0.0962101
0.41232 0.0965974
0.425261 0.0969255
0.438386 0.0971846
0.451694 0.0973638
0.465183 0.0974515
0.478852 0.0974354
0.4927 0.0973027
0.506725 0.0970405
0.520925 0.0966357
0.5353 0.0960754
0.549846 0.0953471
0.564564 0.0944388
0.57945 0.0933396
0.594503 0.0920394
0.609721 0.0905298
0.625103 0.0888036
0.640646 0.0868555
0.656348 0.084682
0.672207 0.0822815
0.688221 0.0796546
0.704387 0.0768038
0.720703 0.0737336
0.737168 0.0704503
0.753777 0.0669617
0.77053 0.0632772
0.787422 0.0594067
0.804452 0.0553606
0.821617 0.051149
0.838914 0.0467808
0.856339 0.0422632
0.87389 0.0376001
0.891564 0.0327916
0.909357 0.0278319
0.927267 0.0227088
0.945289 0.0174012
0.963422 0.0118783
0.98166 0.0060969
1 0
0 0
0.00010538 -0.00266807
0.0004215 -0.00533164
0.00094836 -0.00798617
0.00168594 -0.0106271
0.00263422 -0.0132499
0.00379317 -0.0158498
0.00516274 -0.0184222
0.00674292 -0.0209622
0.00853362 -0.0234649
0.0105348 -0.0259254
0.0127464 -0.0283386
0.0151684 -0.0306994
0.0178006 -0.0330027
0.020643 -0.0352434
0.0236955 -0.0374161
0.026958 -0.0395158
0.0304303 -0.0415373
0.0341124 -0.0434757
0.0380041 -0.045326
0.0421052 -0.0470835
0.0464157 -0.0487438
0.0509354 -0.0503027
0.0556641 -0.0517562
0.0606015 -0.0531009
0.0657476 -0.0543336
0.0711021 -0.0554518
0.0766649 -0.0564532
0.0824355 -0.0573364
0.0884139 -0.0581004
0.0945998 -0.0587448
0.100993 -0.0592698
0.107593 -0.0596765
0.114399 -0.0599664
0.121412 -0.0601419
0.128631 -0.060206
0.136055 -0.0601623
0.143685 -0.060015
0.151519 -0.0597692
0.159558 -0.0594303
0.167801 -0.0590043
0.176247 -0.0584977
0.184897 -0.0579174
0.193749 -0.0572705
0.202803 -0.0565647
0.212058 -0.0558074
0.221514 -0.0550066
0.231171 -0.0541699
0.241028 -0.0533051
0.251083 -0.0524195
0.261337 -0.0515205
0.271788 -0.0506149
0.282437 -0.0497092
0.293281 -0.0488092
0.304321 -0.0479205
0.315556 -0.0470476
0.326984 -0.0461946
0.338604 -0.0453648
0.350417 -0.0445608
0.36242 -0.0437845
0.374613 -0.0430367
0.386995 -0.0423178
0.399564 -0.0416274
0.41232 -0.0409643
0.425261 -0.0403269
0.438386 -0.0397128
0.451694 -0.0391193
0.465183 -0.0385431
0.478852 -0.037981
0.4927 -0.0374292
0.506725 -0.0368841
0.520925 -0.0363419
0.5353 -0.0357991
0.549846 -0.0352523
0.564564 -0.0346984
0.57945 -0.0341347
0.594503 -0.0335588
0.609721 -0.0329688
0.625103 -0.0323632
0.640646 -0.0317405
0.656348 -0.0310999
0.672207 -0.0304404
0.688221 -0.0297609
0.704387 -0.02906
0.720703 -0.0283355
0.737168 -0.0275841
0.753777 -0.0268011
0.77053 -0.0259797
0.787422 -0.0251101
0.804452 -0.0241795
0.821617 -0.0231707
0.838914 -0.0220613
0.856339 -0.0208231
0.87389 -0.0194208
0.891564 -0.0178108
0.909357 -0.0159403
0.927267 -0.0137456
0.945289 -0.011151
0.963422 -0.00806737
0.98166 -0.00439061
1 -0
