1 0
0.947368 0.0185544
0.894737 0.0346757
0.842105 0.0494764
0.789474 0.0631601
0.736842 0.0754727
0.684211 0.0860298
0.631579 0.0945326
0.578947 0.100884
0.526316 0.105213
0.473684 0.10783
0.421053 0.109116
0.368421 0.109373
0.315789 0.10865
0.263158 0.106571
0.210526 0.102191
0.157895 0.0939146
0.105263 0.0794626
0.0526316 0.0556032
0 0
0 -0
0.0526316 -0.0651178
0.105263 -0.0787984
0.157895 -0.0809196
0.210526 -0.0774083
0.263158 -0.0714305
0.315789 -0.0648731
0.368421 -0.0587815
0.421053 -0.0536055
0.473684 -0.0493931
0.526316 -0.0459569
0.578947 -0.043011
0.631579 -0.0402719
0.684211 -0.0375128
0.736842 -0.0345622
0.789474 -0.0312373
0.842105 -0.027205
0.894737 -0.0217602
0.947368 -0.0135164
1 -0
