1 0
0.947368 0.0211111
0.894737 0.0408212
0.842105 0.0577272
0.789474 0.0710018
0.736842 0.0803167
0.684211 0.085759
0.631579 0.0877412
0.578947 0.086908
0.526316 0.0840399
0.473684 0.0799571
0.421053 0.0754232
0.368421 0.0710531
0.315789 0.0672231
0.263158 0.0639867
0.210526 0.0609867
0.157895 0.0573457
0.105263 0.0514413
0.0526316 0.0400552
0 0
0 -0
0.0526316 -0.041501
0.105263 -0.0456428
0.157895 -0.0427487
0.210526 -0.037479
0.263158 -0.0319645
0.315789 -0.0271602
0.368421 -0.0233185
0.421053 -0.020272
0.473684 -0.0176483
0.526316 -0.0150439
0.578947 -0.0121589
0.631579 -0.00888996
0.684211 -0.00537366
0.736842 -0.00197434
0.789474 0.000790507
0.842105 0.002394
0.894737 0.00251887
0.947368 0.00135771
1 0
