1 0
0.947368 0.0191894
0.894737 0.0367496
0.842105 0.0530982
0.789474 0.0683659
0.736842 0.082492
0.684211 0.0953029
0.631579 0.106572
0.578947 0.116067
0.526316 0.123575
0.473684 0.128922
0.421053 0.131971
0.368421 0.132613
0.315789 0.130733
0.263158 0.126166
0.210526 0.11861
0.157895 0.107471
0.105263 0.0914695
0.0526316 0.0672057
0 0
0 -0
0.0526316 -0.0608335
0.105263 -0.0727131
0.157895 -0.0723979
0.210526 -0.0660706
0.263158 -0.0573596
0.315789 -0.0484969
0.368421 -0.0406817
0.421053 -0.0343456
0.473684 -0.0294072
0.526316 -0.0255131
0.578947 -0.0222502
0.631579 -0.0193067
0.684211 -0.0165636
0.736842 -0.0141005
0.789474 -0.0120973
0.842105 -0.0106197
0.894737 -0.00927274
0.947368 -0.00671219
1 -0
